Title,Employer Name,Experience,Salary,Location,Posted Value,Posted Unit,Skills list
HR Generalist,Capital Placement Services,4 to 8 Yrs,,Noida,2,months,"['HR Generalist Activities MS Office', 'Human Resources']"
Dispatch Executive,vagarious solutions pvt.ltd,1 to 5 Yrs,,Hyderabad,2,months,['Good Communication Skills']
Dietary Aide,County of Lennox and Addington,1 to 5 Yrs,,All India,2,months,"['communication skills physical health', 'Safe Food Handler Certificate', 'Food Service Worker Certificate', 'secondary school graduation diploma', 'experience in usingoperating kitchen equipment', 'experience as a food server', 'understanding of special needs of senior population', 'patience', 'tact', 'personal hygiene']"
Customer Support Executive (CSE),Bolster Legal Services Pvt Ltd,0 to 4 Yrs,,Karnataka,2,months,"['Strong English communication skills Ability to draft professional emails', 'CRM tool experience', 'Basic knowledge of MS Office', 'Familiarity with CRM software', 'Good understanding of internetbased applications']"
Brand Executive,Coffee & Creative,2 to 6 Yrs,,Delhi,2,months,"['Client Relationship Management Project Management', 'Advertising Campaigns', 'Organizational Skills', 'Microsoft Office Suite']"
Technical Support Engineer,Safaltek,2 to 6 Yrs,,Punjab,2,months,"['Technical Support Windows OS', 'TCPIP', 'LAN', 'WAN', 'SQL', 'IIS', 'HelpdeskDesktop Support', 'PC softwarehardware', 'Networking devices', 'Networking technology', 'ITIL V3 Foundation']"
"Photography, Videography & Editing",The Good Road,2 to 6 Yrs,,Delhi,2,months,"['Photography Videography', 'Video Editing', 'Photo Editing', 'Content Creation', 'Social Media Marketing']"
HVAC Service Coordinator,Perfect Air Clean Rooms,1 to 5 Yrs,,All India,2,months,"['Technical Solution design Project Budgeting', 'Estimation', 'Vendor Management', 'Project Operations', 'Team Management', 'Customer Communication', 'Project delivery', 'Documentation', 'Service support', 'Telecom', 'Remote support', 'Inspection', 'OEM communication', 'Execution Planning', 'Status reporting', 'Acceptance Signoffs', 'Escalation handling', 'Handover management', 'Site visit', 'Installation guidelines', 'Installation report']"
SAP DevOps Engineer,HELYXON Healthcare Solutions,3 to 7 Yrs,,Hyderabad,2,months,"['ABAP JavaScript', 'HTML', 'CSS', 'Java', 'Python', 'OData', 'Fiori', 'ABAP on HANA Core Data Services', 'SAP Integration Architecture', 'CICD', 'Version Control Git', 'SAP Fiori Infrastructure setup']"
Quality Control (QC) Manager,Active India employment services Pvt. Ltd,5 to 9 Yrs,,Faridabad,2,months,"['Quality Assurance Quality Control', 'Compliance', 'ISO', 'Process Improvement', 'Team Leadership', 'Training', 'FSSC', 'Customer Coordination', 'Supplier Coordination']"
HR & Admin Executive,Unitech IT Solution,0 to 3 Yrs,,Surat,2,months,['HR  Admin Executive']
Senior HR Manager,uk textiles,5 to 15 Yrs,,Tiruppur,2,months,"['Performance ManagementWorkforce  Attendance Management', 'HR Automation  ERP Integration', 'Training  Leadership', 'Human resources management', 'Textile manufacturing', 'Implementation structed hr systems']"
C++ Developer Financial Applications,Uplers,2 to 6 Yrs,,All India,2,months,"['Financial Services Structured Finance', 'Debugging', 'Software Development', 'Agile', 'C', 'Python', 'Multithreaded', 'Objectoriented']"
